,file_directory,captions
0,Afghan/1.jpg,a dog looking to the right .
1,Afghan/1.jpg,a Afghan dog looking to the right .
2,Afghan/1.jpg,a yellow Afghan dog looking to the right .
3,Afghan/1.jpg,a yellow Afghan dog looking to the right on the ground .
4,Afghan/2.jpg,a dog looking to the right .
5,Afghan/2.jpg,a Afghan dog looking to the right .
6,Afghan/2.jpg,a yellow Afghan dog looking to the right .
7,Afghan/2.jpg,a yellow Afghan dog looking to the right on the ground .
8,Afghan/3.jpg,a dog looking to the right .
9,Afghan/3.jpg,a Afghan dog looking to the right .
10,Afghan/3.jpg,a yellow Afghan dog looking to the right .
11,Afghan/3.jpg,a yellow Afghan dog looking to the right on the ground .
12,Afghan/4.jpg,a dog looking to the right .
13,Afghan/4.jpg,a Afghan dog looking to the right .
14,Afghan/4.jpg,a white Afghan dog looking to the right .
15,Afghan/4.jpg,a white Afghan dog looking to the right on the ground .
16,Afghan/5.jpg,a dog looking to the right .
17,Afghan/5.jpg,a Afghan dog looking to the right .
18,Afghan/5.jpg,a yellow Afghan dog looking to the right .
19,Afghan/5.jpg,a yellow Afghan dog looking to the right on the ground .
20,Afghan/6.jpg,a dog looking to the right .
21,Afghan/6.jpg,a Afghan dog looking to the right .
22,Afghan/6.jpg,a yellow Afghan dog looking to the right .
23,Afghan/6.jpg,a yellow Afghan dog looking to the right on the ground .
24,Afghan/7.jpg,a standing dog looking to the left .
25,Afghan/7.jpg,a standing Afghan dog looking to the left .
26,Afghan/7.jpg,a yellow standing Afghan dog looking to the left .
27,Afghan/7.jpg,a yellow standing Afghan dog looking to the left on the ground .
28,Afghan/8.jpg,a standing dog looking to the left .
29,Afghan/8.jpg,a standing Afghan dog looking to the left .
30,Afghan/8.jpg,a yellow standing Afghan dog looking to the left .
31,Afghan/8.jpg,a yellow standing Afghan dog looking to the left on the grass .
32,Afghan/9.jpg,a standing dog looking to the right .
33,Afghan/9.jpg,a standing Afghan dog looking to the right .
34,Afghan/9.jpg,a white standing Afghan dog looking to the right .
35,Afghan/9.jpg,a white standing Afghan dog looking to the right on the grass .
36,Afghan/10.jpg,a standing dog looking to the front .
37,Afghan/10.jpg,a standing Afghan dog looking to the front .
38,Afghan/10.jpg,a yellow standing Afghan dog looking to the front .
39,Afghan/10.jpg,a yellow standing Afghan dog looking to the front in the blank background .
40,Afghan/11.jpg,a standing dog looking to the left .
41,Afghan/11.jpg,a standing Afghan dog looking to the left .
42,Afghan/11.jpg,a yellow standing Afghan dog looking to the left .
43,Afghan/11.jpg,a yellow standing Afghan dog looking to the left in the blank background .
44,Afghan/12.jpg,a standing dog looking to the front .
45,Afghan/12.jpg,a standing Afghan dog looking to the front .
46,Afghan/12.jpg,a white standing Afghan dog looking to the front .
47,Afghan/12.jpg,a white standing Afghan dog looking to the front on the ground .
48,Afghan/13.jpg,a standing dog looking to the front .
49,Afghan/13.jpg,a standing Afghan dog looking to the front .
50,Afghan/13.jpg,a white standing Afghan dog looking to the front .
51,Afghan/13.jpg,a white standing Afghan dog looking to the front on the grass .
52,Afghan/14.jpg,a standing dog looking to the left .
53,Afghan/14.jpg,a standing Afghan dog looking to the left .
54,Afghan/14.jpg,a black standing Afghan dog looking to the left .
55,Afghan/14.jpg,a black standing Afghan dog looking to the left on the grass .
56,African Wild Dog/1.jpg,a standing dog looking to the front .
57,African Wild Dog/1.jpg,a standing African Wild dog looking to the front .
58,African Wild Dog/1.jpg,a yellow standing African Wild dog looking to the front .
59,African Wild Dog/1.jpg,a standing African Wild dog looking to the front on the grass .
60,African Wild Dog/2.jpg,a standing dog looking to the front .
61,African Wild Dog/2.jpg,a standing African Wild dog looking to the front .
62,African Wild Dog/2.jpg,a brown standing African Wild dog looking to the front .
63,African Wild Dog/2.jpg,a brown standing African Wild dog looking to the front on the ground .
64,African Wild Dog/3.jpg,a standing dog looking to the front .
65,African Wild Dog/3.jpg,a standing African Wild dog looking to the front .
66,African Wild Dog/3.jpg,a brown standing African Wild dog looking to the front .
67,African Wild Dog/3.jpg,a brown standing African Wild dog looking to the front on the grass .
68,African Wild Dog/4.jpg,a standing dog looking to the right .
69,African Wild Dog/4.jpg,a standing African Wild dog looking to the right .
70,African Wild Dog/4.jpg,a brown standing African Wild dog looking to the right .
71,African Wild Dog/4.jpg,a brown standing African Wild dog looking to the right on the grass .
72,African Wild Dog/5.jpg,a standing dog looking to the front .
73,African Wild Dog/5.jpg,a standing African Wild dog looking to the front .
74,African Wild Dog/5.jpg,a brown standing African Wild dog looking to the front .
75,African Wild Dog/5.jpg,a brown standing African Wild dog looking to the front on the grass .
76,African Wild Dog/6.jpg,a standing dog looking to the left .
77,African Wild Dog/6.jpg,a standing African Wild dog looking to the left .
78,African Wild Dog/6.jpg,a brown standing African Wild dog looking to the left .
79,African Wild Dog/6.jpg,a brown standing African Wild dog looking to the left on the ground .
80,African Wild Dog/7.jpg,a standing dog looking to the front .
81,African Wild Dog/7.jpg,a standing African Wild dog looking to the front .
82,African Wild Dog/7.jpg,a brown standing African Wild dog looking to the front .
83,African Wild Dog/7.jpg,a brown standing African Wild dog looking to the front on the grass .
84,African Wild Dog/8.jpg,a standing dog looking to the front .
85,African Wild Dog/8.jpg,a standing African Wild dog looking to the front .
86,African Wild Dog/8.jpg,a brown standing African Wild dog looking to the front .
87,African Wild Dog/8.jpg,a brown standing African Wild dog looking to the front on the grass .
88,African Wild Dog/9.jpg,a standing dog looking to the left .
89,African Wild Dog/9.jpg,a standing African Wild dog looking to the left .
90,African Wild Dog/9.jpg,a brown standing African Wild dog looking to the left .
91,African Wild Dog/9.jpg,a brown standing African Wild dog looking to the left on the grass .
92,African Wild Dog/10.jpg,a standing dog looking to the right .
93,African Wild Dog/10.jpg,a standing African Wild dog looking to the right .
94,African Wild Dog/10.jpg,a brown standing African Wild dog looking to the right .
95,African Wild Dog/10.jpg,a brown standing African Wild dog looking to the right in the blank background .
96,African Wild Dog/11.jpg,a standing dog looking to the front .
97,African Wild Dog/11.jpg,a standing African Wild dog looking to the front .
98,African Wild Dog/11.jpg,a brown standing African Wild dog looking to the front .
99,African Wild Dog/11.jpg,a brown standing African Wild dog looking to the front on the ground .
100,African Wild Dog/12.jpg,a standing dog looking to the left .
101,African Wild Dog/12.jpg,a standing African Wild dog looking to the left .
102,African Wild Dog/12.jpg,a brown standing African Wild dog looking to the left .
103,African Wild Dog/12.jpg,a brown standing African Wild dog looking to the left on the grass .
104,African Wild Dog/13.jpg,a standing dog looking to the front .
105,African Wild Dog/13.jpg,a standing African Wild dog looking to the front .
106,African Wild Dog/13.jpg,a brown standing African Wild dog looking to the front .
107,African Wild Dog/13.jpg,a brown standing African Wild dog looking to the front on the ground .
108,African Wild Dog/14.jpg,a lying dog looking to the front .
109,African Wild Dog/14.jpg,a lying African Wild dog looking to the front .
110,African Wild Dog/14.jpg,a brown lying African Wild dog looking to the front .
111,African Wild Dog/14.jpg,a brown lying African Wild dog looking to the front on the ground .
112,Airedale/1.jpg,a standing dog looking to the front .
113,Airedale/1.jpg,a standing Airedale dog looking to the front .
114,Airedale/1.jpg,a brown standing Airedale dog looking to the front .
115,Airedale/1.jpg,a brown standing Airedale dog looking to the front in the blank background .
116,Airedale/2.jpg,a dog looking to the front .
117,Airedale/2.jpg,a Airedale dog looking to the front .
118,Airedale/2.jpg,a brown Airedale dog looking to the front .
119,Airedale/2.jpg,a brown Airedale dog looking to the front in the blank background .
120,Airedale/3.jpg,a lying dog looking to the front .
121,Airedale/3.jpg,a lying Airedale dog looking to the front .
122,Airedale/3.jpg,a brown lying Airedale dog looking to the front .
123,Airedale/3.jpg,a brown lying Airedale dog looking to the front on the snow .
124,Airedale/4.jpg,a standing dog looking to the left .
125,Airedale/4.jpg,a standing Airedale dog looking to the left .
126,Airedale/4.jpg,a brown standing Airedale dog looking to the left .
127,Airedale/4.jpg,a brown standing Airedale dog looking to the left on the snow .
128,Airedale/5.jpg,a standing dog looking to the front .
129,Airedale/5.jpg,a standing Airedale dog looking to the front .
130,Airedale/5.jpg,a brown standing Airedale dog looking to the front .
131,Airedale/5.jpg,a brown standing Airedale dog looking to the front on the floor .
132,Airedale/6.jpg,a lying dog looking to the right .
133,Airedale/6.jpg,a lying Airedale dog looking to the right .
134,Airedale/6.jpg,a brown lying Airedale dog looking to the right .
